Month,DP,EP,Mkt-RF,SMB,HML,STR,TB,TS,INF,IP,RV
197608,0.0507166482910694,0.109702315325248,-0.56,-1.98,0.81,-2.04,5.14,2.5200000000000005,5.719557195571956,0.6899630207011453,-3.5134407142844895
197609,0.0507166482910694,0.109702315325248,2.07,0.1,-0.29,-0.32,5.08,2.47,5.494505494505497,0.3319283574834575,-3.334370707139249
197610,0.0507166482910694,0.109702315325248,-2.42,0.13,-0.18,1.14,4.92,2.5,5.464480874316946,-0.0316251278462575,-3.398139272102439
197611,0.0507166482910694,0.109702315325248,0.36,2.66,1.51,0.54,4.75,2.26,5.063291139240511,1.5337430195172974,-3.7295047292042938
197612,0.0507166482910694,0.109702315325248,5.65,3.64,2.27,3.64,4.35,2.46,5.035971223021574,1.0781295921050482,-3.63534868797479
197701,0.0418129258723931,0.1023126161470163,-4.05,5.9,4.27,0.54,4.62,2.78,5.197132616487465,-0.6840510513267839,-4.001175678971982
197702,0.0418129258723931,0.1023126161470163,-1.94,1.07,0.47,1.38,4.67,2.78,6.082289803220031,1.5773960857860423,-3.657309398329147
197703,0.0418129258723931,0.1023126161470163,-1.37,1.31,1.09,1.03,4.6,2.8200000000000003,6.428571428571428,1.26880177870623,-3.461510437123776
197704,0.0418129258723931,0.1023126161470163,0.15,0.61,3.38,-1.22,4.54,2.91,6.951871657754016,0.9770732312749164,-3.6810978154254133
197705,0.0418129258723931,0.1023126161470163,-1.45,1.31,0.85,-0.32,4.96,2.42,6.737588652482285,0.7713825548868236,-3.73993422022703
197706,0.0418129258723931,0.1023126161470163,4.71,2.08,-0.74,0.09,5.02,2.1800000000000006,6.701940035273357,0.7644263122476458,-3.7137202168506867
197707,0.0418129258723931,0.1023126161470163,-1.69,1.88,-0.56,1.03,5.19,2.2299999999999995,6.666666666666665,0.1289770533543288,-3.7241368395447427
197708,0.0418129258723931,0.1023126161470163,-1.75,0.86,-2.7,-0.71,5.49,1.79,6.631762652705064,0.102756928797576,-3.838678943953919
197709,0.0418129258723931,0.1023126161470163,-0.27,1.43,-0.52,0.83,5.81,1.6000000000000003,6.423611111111094,0.3983209304843527,-3.6147462457674737
197710,0.0418129258723931,0.1023126161470163,-4.38,1.48,1.75,1.76,6.16,1.46,6.390328151986191,0.15989912459895,-3.2901093140750675
197711,0.0418129258723931,0.1023126161470163,4.0,3.64,0.26,2.22,6.1,1.4500000000000002,6.712564543889843,0.1807640542499156,-3.687580333850103
197712,0.0418129258723931,0.1023126161470163,0.27,1.59,-0.29,-0.13,6.07,1.71,6.67808219178081,0.1769242057529263,-3.5021067152536074
197801,0.0449860321741643,0.1049031885174838,-6.01,2.72,3.36,1.07,6.44,1.5,6.814310051107331,-1.459729016524347,-3.654195729953123
197802,0.0449860321741643,0.1049031885174838,-1.38,3.7,0.83,1.17,6.45,1.589999999999999,6.239460370994943,0.5584124086063014,-3.6905997720282437
197803,0.0449860321741643,0.1049031885174838,2.85,3.71,1.18,-0.27,6.29,1.8600000000000003,6.375838926174482,1.9130865698741009,-3.176596647530371
197804,0.0449860321741643,0.1049031885174838,7.88,-0.26,-3.54,0.22,6.29,1.95,6.499999999999995,1.9897478644789413,-3.4130645226295875
197805,0.0449860321741643,0.1049031885174838,1.76,4.58,-0.52,0.08,6.41,2.01,7.14285714285714,0.4815724421972867,-3.4403554413249107
197806,0.0449860321741643,0.1049031885174838,-1.69,1.56,0.57,1.35,6.73,1.8899999999999988,7.438016528925617,0.6427406589287754,-3.5351784740403094
197807,0.0449860321741643,0.1049031885174838,5.11,0.12,-1.15,0.91,7.01,1.5500000000000007,7.7302631578947345,-0.0717078755848588,-3.451951663186128
197808,0.0449860321741643,0.1049031885174838,3.75,4.95,-0.51,0.87,7.08,1.3100000000000005,7.855973813420625,0.4097418249865203,-3.4805904746558416
197809,0.0449860321741643,0.1049031885174838,-1.43,-0.32,1.89,3.65,7.85,0.7100000000000009,8.482871125611746,0.2355235908562347,-3.0829031719290256
197810,0.0449860321741643,0.1049031885174838,-11.91,-10.02,1.38,-1.84,7.99,0.9700000000000006,8.92857142857142,0.7730578030583635,-2.8752978641631683
197811,0.0449860321741643,0.1049031885174838,2.71,2.81,-2.15,9.15,8.64,0.2199999999999988,8.870967741935477,0.7686910362377342,-3.1987764316069596
197812,0.0449860321741643,0.1049031885174838,0.88,1.13,-2.13,-0.39,9.08,0.0700000000000002,8.988764044943842,0.4986597670205706,-3.4533212522187062
197901,0.0561772853185595,0.1366204986149584,4.23,3.78,2.19,5.62,9.35,-0.4000000000000003,9.250398724082933,-0.5392229708213625,-3.5567247135829914
197902,0.0561772853185595,0.1366204986149584,-3.56,0.54,1.17,1.31,9.32,-0.1500000000000003,9.84126984126985,0.5112940687947543,-3.564991882566936
197903,0.0561772853185595,0.1366204986149584,5.68,3.24,-0.71,1.47,9.48,-0.370000000000001,10.252365930599373,0.2992312652270179,-3.671711869184198
197904,0.0561772853185595,0.1366204986149584,-0.06,2.37,1.12,-0.4,9.46,-0.1100000000000012,10.485133020344284,-1.1941240780376616,-3.4939932304633654
197905,0.0561772853185595,0.1366204986149584,-2.21,0.18,1.31,1.17,9.61,-0.5499999999999989,10.697674418604652,0.892585810573876,-3.7336395074200044
197906,0.0561772853185595,0.1366204986149584,3.85,1.0,1.44,1.19,9.06,-0.25,11.076923076923071,0.007530091403729,-3.6267554824690302
197907,0.0561772853185595,0.1366204986149584,0.82,1.27,1.86,0.6,9.24,-0.2300000000000004,11.45038167938932,-0.161595178015339,-3.7940117493361796
